Region,Provincia,Distrito,Ubigeo,Votosemitidos,Electores,N_Partidos,P_ausentismo,Año
AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUCC,10507,417.0,266.0,3.0,0.21586071814473007,2022
AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUCC,10507,417.0,111.0,3.0,0.21586071814473007,2022
AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,10508,1162.0,300.0,3.0,0.23905538472871557,2022
AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,10508,1162.0,241.0,3.0,0.23905538472871557,2022
AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,10508,1162.0,242.0,3.0,0.23905538472871557,2022
AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,10509,4128.0,280.0,5.0,0.115979875691155,2022
AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,10509,4128.0,281.0,5.0,0.115979875691155,2022
AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,10509,4128.0,300.0,5.0,0.115979875691155,2022
AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,10510,438.0,276.0,3.0,0.26399788974345556,2022
AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,10510,438.0,277.0,3.0,0.26399788974345556,2022
AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,10511,399.0,236.0,2.0,0.4226694915254237,2022
AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,10512,1404.0,249.0,3.0,0.23338461988516576,2022
AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,10512,1404.0,250.0,3.0,0.23338461988516576,2022
AMAZONAS,CONDORCANQUI,RIO SANTIAGO,10602,6107.0,300.0,10.0,0.05843247488300081,2022
AMAZONAS,CONDORCANQUI,RIO SANTIAGO,10602,6107.0,276.0,10.0,0.05843247488300081,2022
AMAZONAS,CONDORCANQUI,EL CENEPA,10603,3588.0,300.0,8.0,0.04701821065734047,2022
AMAZONAS,CONDORCANQUI,EL CENEPA,10603,3588.0,282.0,8.0,0.04701821065734047,2022
AMAZONAS,UTCUBAMBA,CAJARURO,10702,11826.0,300.0,8.0,0.07036375998843586,2022
AMAZONAS,UTCUBAMBA,CAJARURO,10702,11826.0,291.0,8.0,0.07036375998843586,2022
AMAZONAS,UTCUBAMBA,CUMBA,10703,4718.0,292.0,6.0,0.11414152662875172,2022
AMAZONAS,UTCUBAMBA,CUMBA,10703,4718.0,293.0,6.0,0.11414152662875172,2022
AMAZONAS,UTCUBAMBA,CUMBA,10703,4718.0,288.0,6.0,0.11414152662875172,2022
AMAZONAS,UTCUBAMBA,CUMBA,10703,4718.0,289.0,6.0,0.11414152662875172,2022
AMAZONAS,UTCUBAMBA,CUMBA,10703,4718.0,300.0,6.0,0.11414152662875172,2022
AMAZONAS,UTCUBAMBA,EL MILAGRO,10704,3156.0,300.0,7.0,0.096880289979413,2022
AMAZONAS,UTCUBAMBA,EL MILAGRO,10704,3156.0,288.0,7.0,0.096880289979413,2022
AMAZONAS,UTCUBAMBA,EL MILAGRO,10704,3156.0,289.0,7.0,0.096880289979413,2022
AMAZONAS,UTCUBAMBA,JAMALCA,10705,3969.0,300.0,5.0,0.14122103997873325,2022
AMAZONAS,UTCUBAMBA,JAMALCA,10705,3969.0,274.0,5.0,0.14122103997873325,2022
AMAZONAS,UTCUBAMBA,JAMALCA,10705,3969.0,275.0,5.0,0.14122103997873325,2022
AMAZONAS,UTCUBAMBA,LONYA GRANDE,10706,4818.0,300.0,3.0,0.2171959373164299,2022
AMAZONAS,UTCUBAMBA,LONYA GRANDE,10706,4818.0,256.0,3.0,0.2171959373164299,2022
AMAZONAS,UTCUBAMBA,LONYA GRANDE,10706,4818.0,255.0,3.0,0.2171959373164299,2022
AMAZONAS,UTCUBAMBA,YAMON,10707,1949.0,300.0,6.0,0.11857557149805448,2022
AMAZONAS,UTCUBAMBA,YAMON,10707,1949.0,257.0,6.0,0.11857557149805448,2022
AMAZONAS,UTCUBAMBA,YAMON,10707,1949.0,256.0,6.0,0.11857557149805448,2022
ANCASH,HUARAZ,INDEPENDENCIA,20102,31136.0,300.0,8.0,0.07456473914354887,2022
ANCASH,HUARAZ,INDEPENDENCIA,20102,31136.0,295.0,8.0,0.07456473914354887,2022
ANCASH,HUARAZ,INDEPENDENCIA,20102,31136.0,296.0,8.0,0.07456473914354887,2022
ANCASH,HUARAZ,INDEPENDENCIA,20102,31136.0,290.0,8.0,0.07456473914354887,2022
ANCASH,HUARAZ,INDEPENDENCIA,20102,31136.0,291.0,8.0,0.07456473914354887,2022
ANCASH,HUARAZ,INDEPENDENCIA,20102,31136.0,294.0,8.0,0.07456473914354887,2022
ANCASH,HUARAZ,COCHABAMBA,20103,1004.0,264.0,4.0,0.15805638936535163,2022
ANCASH,HUARAZ,COCHABAMBA,20103,1004.0,265.0,4.0,0.15805638936535163,2022
ANCASH,HUARAZ,COLCABAMBA,20104,127.0,152.0,1.0,0.4164731682146543,2022
ANCASH,HUARAZ,COLCABAMBA,20104,127.0,153.0,1.0,0.4164731682146543,2022
ANCASH,HUARAZ,HUANCHAY,20105,1251.0,298.0,5.0,0.1392694801497554,2022
ANCASH,HUARAZ,HUANCHAY,20105,1251.0,299.0,5.0,0.1392694801497554,2022
ANCASH,HUARAZ,JANGAS,20106,3055.0,295.0,3.0,0.24010069646076262,2022
ANCASH,HUARAZ,JANGAS,20106,3055.0,296.0,3.0,0.24010069646076262,2022
