Region,Provincia,Distrito,Ubigeo,Votosemitidos,Electores,N_Partidos,P_ausentismo,Año,Utilidad
CAJAMARCA,CELENDIN,LA LIBERTAD DE PALLAN,60312,3845.0,300.0,5.0,0.1333512033411502,2022,543404.4899999993
CAJAMARCA,CELENDIN,LA LIBERTAD DE PALLAN,60312,3845.0,295.0,5.0,0.1333512033411502,2022,543404.4899999993
CAJAMARCA,CELENDIN,LA LIBERTAD DE PALLAN,60312,3845.0,296.0,5.0,0.1333512033411502,2022,543404.4899999993
CAJAMARCA,CELENDIN,LA LIBERTAD DE PALLAN,60312,3845.0,233.0,5.0,0.1333512033411502,2022,543404.4899999993
CAJAMARCA,CELENDIN,LA LIBERTAD DE PALLAN,60312,3845.0,234.0,5.0,0.1333512033411502,2022,543404.4899999993
CAJAMARCA,HUALGAYOC,CHUGUR,60702,2163.0,285.0,4.0,0.171485721739184,2022,5543959.67
CAJAMARCA,HUALGAYOC,CHUGUR,60702,2163.0,286.0,4.0,0.171485721739184,2022,5543959.67
CAJAMARCA,HUALGAYOC,CHUGUR,60702,2163.0,288.0,4.0,0.171485721739184,2022,5543959.67
CAJAMARCA,HUALGAYOC,CHUGUR,60702,2163.0,289.0,4.0,0.171485721739184,2022,5543959.67
CAJAMARCA,HUALGAYOC,HUALGAYOC,60703,8504.0,300.0,6.0,0.1120592019211681,2022,17204161.289999995
CAJAMARCA,HUALGAYOC,HUALGAYOC,60703,8504.0,297.0,6.0,0.1120592019211681,2022,17204161.289999995
CAJAMARCA,HUALGAYOC,HUALGAYOC,60703,8504.0,298.0,6.0,0.1120592019211681,2022,17204161.289999995
CAJAMARCA,HUALGAYOC,HUALGAYOC,60703,8504.0,255.0,6.0,0.1120592019211681,2022,17204161.289999995
CAJAMARCA,JAEN,BELLAVISTA,60802,8194.0,275.0,7.0,0.0932845282680393,2022,3053585.2200000007
